都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
21,岐阜県,21507,加茂郡東白川村,215070001000,越原,35.652923,137.385277,0,1
21,岐阜県,21507,加茂郡東白川村,215070002000,神土,35.646412,137.328488,0,1
21,岐阜県,21507,加茂郡東白川村,215070003000,五加,35.622994,137.289940,0,1
