都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
40,福岡県,40604,田川郡糸田町,406040001000,糸田,33.655374,130.772925,0,1
40,福岡県,40604,田川郡糸田町,406040002000,川宮,33.655489,130.789424,0,1
