都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
40,福岡県,40342,糟屋郡篠栗町,403420001000,大字乙犬,33.615605,130.507212,0,1
40,福岡県,40342,糟屋郡篠栗町,403420002000,大字尾仲,33.619326,130.515656,0,1
40,福岡県,40342,糟屋郡篠栗町,403420003000,大字金出,33.632424,130.545538,0,1
40,福岡県,40342,糟屋郡篠栗町,403420004000,大字篠栗,33.622748,130.568817,0,1
40,福岡県,40342,糟屋郡篠栗町,403420005000,大字高田,33.636222,130.534888,0,1
40,福岡県,40342,糟屋郡篠栗町,403420006000,大字田中,33.626718,130.518996,0,1
40,福岡県,40342,糟屋郡篠栗町,403420007000,大字津波黒,33.630557,130.518992,3,1
40,福岡県,40342,糟屋郡篠栗町,403420008000,大字内住,33.610407,130.586419,0,1
40,福岡県,40342,糟屋郡篠栗町,403420009000,大字萩尾,33.653685,130.560375,0,1
40,福岡県,40342,糟屋郡篠栗町,403420010000,大字若杉,33.607004,130.524221,0,1
40,福岡県,40342,糟屋郡篠栗町,403420011000,大字和田,33.630377,130.503742,0,1
40,福岡県,40342,糟屋郡篠栗町,403420012000,彩り台,33.633013,130.519637,3,1
40,福岡県,40342,糟屋郡篠栗町,403420013001,中央一丁目,33.624581,130.525717,3,3
40,福岡県,40342,糟屋郡篠栗町,403420013005,中央五丁目,33.61875,130.525973,3,3
40,福岡県,40342,糟屋郡篠栗町,403420013004,中央四丁目,33.622351,130.525723,3,3
40,福岡県,40342,糟屋郡篠栗町,403420013003,中央三丁目,33.622693999999996,130.530517,1,3
40,福岡県,40342,糟屋郡篠栗町,403420013002,中央二丁目,33.624746,130.5305,1,3
40,福岡県,40342,糟屋郡篠栗町,403420013006,中央六丁目,33.61905,130.530556,1,3
