都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
14,神奈川県,14383,足柄下郡真鶴町,143830001000,真鶴,35.152756,139.138391,0,1
14,神奈川県,14383,足柄下郡真鶴町,143830002000,岩,35.172453,139.131667,0,1
