都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
14,神奈川県,14402,愛甲郡清川村,144020001000,煤ヶ谷,35.484274,139.262291,0,1
14,神奈川県,14402,愛甲郡清川村,144020002000,宮ヶ瀬,35.500067,139.214575,0,1
