都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
04,宮城県,04581,牡鹿郡女川町,045810003000,笠貝島,38.423259,141.594015,0,1
04,宮城県,04581,牡鹿郡女川町,045810004000,桜ケ丘,38.438974,141.441471,0,1
04,宮城県,04581,牡鹿郡女川町,045810005000,二股島,38.404361,141.552868,0,1
04,宮城県,04581,牡鹿郡女川町,045810006002,旭が丘二丁目,38.434218,141.430687,0,3
04,宮城県,04581,牡鹿郡女川町,045810006001,旭が丘一丁目,38.436124,141.431749,0,3
04,宮城県,04581,牡鹿郡女川町,045810007000,平島,38.402195,141.581559,0,1
04,宮城県,04581,牡鹿郡女川町,045810009000,足島,38.388691,141.603485,0,1
04,宮城県,04581,牡鹿郡女川町,045810010000,江島,38.399273,141.593873,0,1
04,宮城県,04581,牡鹿郡女川町,045810011000,竹浦,38.442768,141.485506,0,1
04,宮城県,04581,牡鹿郡女川町,045810012000,宮ケ崎,38.451361,141.452412,0,1
04,宮城県,04581,牡鹿郡女川町,045810013000,飯子浜,38.398472,141.483811,0,1
04,宮城県,04581,牡鹿郡女川町,045810014000,桐ケ崎,38.444808,141.475815,0,1
04,宮城県,04581,牡鹿郡女川町,045810015000,鷲神浜,38.436044,141.441903,3,1
04,宮城県,04581,牡鹿郡女川町,045810016000,大石原浜,38.398610,141.458726,0,1
04,宮城県,04581,牡鹿郡女川町,045810017000,小乗浜,38.430702,141.449023,0,1
04,宮城県,04581,牡鹿郡女川町,045810018000,野々浜,38.391917,141.468566,0,1
04,宮城県,04581,牡鹿郡女川町,045810019000,石浜,38.451099,141.465125,3,1
04,宮城県,04581,牡鹿郡女川町,045810020000,指ケ浜,38.475618,141.484359,0,1
04,宮城県,04581,牡鹿郡女川町,045810021000,塚浜,38.402437,141.497301,0,1
04,宮城県,04581,牡鹿郡女川町,045810022000,尾浦,38.452862,141.494225,1,1
04,宮城県,04581,牡鹿郡女川町,045810023000,出島,38.450909,141.523646,0,1
04,宮城県,04581,牡鹿郡女川町,045810024000,横浦,38.412626,141.463872,0,1
04,宮城県,04581,牡鹿郡女川町,045810025000,高白浜,38.423478,141.462197,0,1
04,宮城県,04581,牡鹿郡女川町,045810026000,針浜,38.422396,141.423583,0,1
04,宮城県,04581,牡鹿郡女川町,045810027000,御前浜,38.472498,141.465177,0,1
04,宮城県,04581,牡鹿郡女川町,045810028000,浦宿浜,38.446299,141.416614,3,1
04,宮城県,04581,牡鹿郡女川町,045810029000,女川浜,38.462597,141.429435,0,1
04,宮城県,04581,牡鹿郡女川町,045810039000,伊勢,38.448572,141.447796,3,1
04,宮城県,04581,牡鹿郡女川町,045810031000,黄金,38.441144,141.444753,3,1
04,宮城県,04581,牡鹿郡女川町,045810035000,海岸通り,38.444234,141.446918,3,1
04,宮城県,04581,牡鹿郡女川町,045810040000,市場通り,38.446214,141.455830,3,1
04,宮城県,04581,牡鹿郡女川町,045810036001,女川一丁目,38.444938,141.442742,3,3
04,宮城県,04581,牡鹿郡女川町,045810036002,女川二丁目,38.446192,141.445292,3,3
04,宮城県,04581,牡鹿郡女川町,045810034001,小乗一丁目,38.437169,141.451251,3,3
04,宮城県,04581,牡鹿郡女川町,045810034002,小乗二丁目,38.437840,141.454138,3,3
04,宮城県,04581,牡鹿郡女川町,045810038001,清水一丁目,38.453182,141.442305,3,3
04,宮城県,04581,牡鹿郡女川町,045810038002,清水二丁目,38.454319,141.444633,3,3
04,宮城県,04581,牡鹿郡女川町,045810041001,石浜一丁目,38.448540,141.462856,3,3
04,宮城県,04581,牡鹿郡女川町,045810041002,石浜二丁目,38.446926,141.461163,3,3
04,宮城県,04581,牡鹿郡女川町,045810037000,大原,38.448127,141.439997,3,1
04,宮城県,04581,牡鹿郡女川町,045810030000,大道,38.439812,141.440031,3,1
04,宮城県,04581,牡鹿郡女川町,045810032000,内山,38.438465,141.443295,3,1
04,宮城県,04581,牡鹿郡女川町,045810033001,鷲神一丁目,38.439899,141.445271,3,3
04,宮城県,04581,牡鹿郡女川町,045810033002,鷲神二丁目,38.440451,141.450857,3,3
