都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
01,北海道,01517,礼文郡礼文町,015170001000,大字香深村,45.334026,141.031708,0,1
01,北海道,01517,礼文郡礼文町,015170002000,大字船泊村,45.391637,141.001554,0,1
