pref_en,cityname_en,pref_ja,cityname_ja,rank1_let,rank1_prob,rank2_let,rank2_prob,rank3_let,rank3_prob,rank4_let,rank4_prob,rank5_let,rank5_prob,rank6_let,rank6_prob,rank7_let,rank7_prob,rank8_let,rank8_prob,rank9_let,rank9_prob,rank10_let,rank10_prob
kanagawa,tsurumi,神奈川県,横浜市鶴見区,東,0.05,場,0.05,寺,0.04285714285714286,市,0.04285714285714286,尾,0.03571428571428571,大,0.02857142857142857,谷,0.02857142857142857,中,0.02857142857142857,通,0.02142857142857143,台,0.02142857142857143
kanagawa,kanagawa,神奈川県,横浜市神奈川区,沢,0.045,白,0.04,神,0.035,ツ,0.035,幡,0.035,三,0.035,台,0.025,島,0.025,西,0.025,川,0.025
kanagawa,nishi,神奈川県,横浜市西区,ケ,0.04395604395604396,丘,0.03296703296703297,西,0.03296703296703297,戸,0.03296703296703297,部,0.03296703296703297,南,0.03296703296703297,久,0.03296703296703297,保,0.03296703296703297,浅,0.03296703296703297,間,0.03296703296703297
kanagawa,naka,神奈川県,横浜市中区,本,0.0625,牧,0.051470588235294115,台,0.029411764705882353,通,0.029411764705882353,山,0.029411764705882353,田,0.025735294117647058,岸,0.01838235294117647,之,0.01838235294117647,吉,0.01838235294117647,大,0.01838235294117647
kanagawa,yokohamaminami,神奈川県,横浜市南区,田,0.06015037593984962,中,0.05263157894736842,台,0.045112781954887216,永,0.03759398496240601,里,0.03007518796992481,谷,0.03007518796992481,ケ,0.03007518796992481,山,0.022556390977443608,井,0.022556390977443608,土,0.022556390977443608
kanagawa,hodogaya,神奈川県,横浜市保土ケ谷区,台,0.05660377358490566,ケ,0.04716981132075472,谷,0.04716981132075472,川,0.04716981132075472,西,0.03773584905660377,丘,0.02830188679245283,井,0.02830188679245283,岩,0.02830188679245283,田,0.02830188679245283,仏,0.018867924528301886
kanagawa,isogo,神奈川県,横浜市磯子区,中,0.07462686567164178,田,0.05970149253731343,新,0.05970149253731343,杉,0.04477611940298507,磯,0.04477611940298507,子,0.04477611940298507,原,0.04477611940298507,森,0.04477611940298507,台,0.04477611940298507,木,0.029850746268656716
kanagawa,kanazawa,神奈川県,横浜市金沢区,浦,0.04395604395604396,台,0.04395604395604396,谷,0.03296703296703297,西,0.03296703296703297,能,0.03296703296703297,見,0.03296703296703297,六,0.02197802197802198,島,0.02197802197802198,釜,0.02197802197802198,利,0.02197802197802198
kanagawa,kohoku,神奈川県,横浜市港北区,原,0.060240963855421686,新,0.060240963855421686,田,0.060240963855421686,大,0.04819277108433735,篠,0.04819277108433735,吉,0.04819277108433735,台,0.03614457831325301,根,0.03614457831325301,綱,0.03614457831325301,島,0.03614457831325301
kanagawa,totsuka,神奈川県,横浜市戸塚区,上,0.08064516129032258,田,0.06451612903225806,戸,0.04838709677419355,俣,0.03225806451612903,野,0.03225806451612903,柏,0.03225806451612903,尾,0.03225806451612903,平,0.03225806451612903,矢,0.03225806451612903,部,0.03225806451612903
kanagawa,konan,神奈川県,横浜市港南区,谷,0.1111111111111111,永,0.07407407407407407,港,0.05555555555555555,南,0.05555555555555555,日,0.05555555555555555,野,0.05555555555555555,上,0.05555555555555555,下,0.037037037037037035,芹,0.037037037037037035,が,0.037037037037037035
kanagawa,asahi,神奈川県,横浜市旭区,川,0.06451612903225806,宿,0.06451612903225806,が,0.056451612903225805,今,0.04838709677419355,白,0.04032258064516129,根,0.04032258064516129,本,0.04032258064516129,井,0.03225806451612903,中,0.03225806451612903,丘,0.03225806451612903
kanagawa,yokohamamidori,神奈川県,横浜市緑区,山,0.09523809523809523,台,0.047619047619047616,長,0.047619047619047616,津,0.047619047619047616,田,0.047619047619047616,鴨,0.031746031746031744,居,0.031746031746031744,み,0.031746031746031744,東,0.031746031746031744,本,0.031746031746031744
kanagawa,seya,神奈川県,横浜市瀬谷区,瀬,0.09090909090909091,谷,0.09090909090909091,東,0.03636363636363636,野,0.03636363636363636,台,0.03636363636363636,ツ,0.03636363636363636,橋,0.03636363636363636,北,0.03636363636363636,沢,0.03636363636363636,南,0.03636363636363636
kanagawa,sakae,神奈川県,横浜市栄区,台,0.06666666666666667,谷,0.06666666666666667,ケ,0.05333333333333334,上,0.04,郷,0.04,桂,0.04,小,0.04,長,0.04,笠,0.02666666666666667,間,0.02666666666666667
kanagawa,izumi,神奈川県,横浜市泉区,和,0.0851063829787234,泉,0.0851063829787234,田,0.0851063829787234,中,0.06382978723404255,が,0.0425531914893617,下,0.0425531914893617,西,0.0425531914893617,岡,0.0425531914893617,飯,0.0425531914893617,丘,0.02127659574468085
kanagawa,aoba,神奈川県,横浜市青葉区,台,0.09352517985611511,田,0.050359712230215826,が,0.050359712230215826,丘,0.050359712230215826,み,0.04316546762589928,す,0.02877697841726619,野,0.02877697841726619,奈,0.02158273381294964,し,0.02158273381294964,あ,0.02158273381294964
kanagawa,tsuduki,神奈川県,横浜市都筑区,田,0.08,山,0.056,川,0.04,南,0.04,東,0.04,大,0.032,中,0.032,が,0.032,牛,0.024,久,0.024
kanagawa,kawasaki,神奈川県,川崎市川崎区,田,0.08875739644970414,島,0.05325443786982249,大,0.047337278106508875,渡,0.03550295857988166,川,0.029585798816568046,本,0.029585798816568046,師,0.029585798816568046,東,0.023668639053254437,新,0.023668639053254437,小,0.023668639053254437
kanagawa,saiwai,神奈川県,川崎市幸区,小,0.10256410256410256,向,0.0641025641025641,倉,0.038461538461538464,新,0.038461538461538464,幸,0.038461538461538464,川,0.038461538461538464,東,0.038461538461538464,古,0.038461538461538464,塚,0.02564102564102564,越,0.02564102564102564
