都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
39,高知県,39427,幡多郡三原村,394270001000,大字狼内,32.928110,132.894220,0,1
39,高知県,39427,幡多郡三原村,394270002000,大字上下長谷,32.909227,132.862025,0,1
39,高知県,39427,幡多郡三原村,394270003000,大字上長谷,32.924465,132.871906,0,1
39,高知県,39427,幡多郡三原村,394270004000,大字亀ノ川,32.900926,132.812847,0,1
39,高知県,39427,幡多郡三原村,394270005000,大字来栖野,32.903272,132.849170,0,1
39,高知県,39427,幡多郡三原村,394270006000,大字下切,32.887639,132.788076,0,1
39,高知県,39427,幡多郡三原村,394270007000,大字下長谷,32.892083,132.875645,0,1
39,高知県,39427,幡多郡三原村,394270008000,大字成山,32.927730,132.910595,0,1
39,高知県,39427,幡多郡三原村,394270009000,大字広野,32.878814,132.829698,0,1
39,高知県,39427,幡多郡三原村,394270010000,大字皆尾,32.882900,132.855072,0,1
39,高知県,39427,幡多郡三原村,394270011000,大字宮ノ川,32.924376,132.839269,0,1
39,高知県,39427,幡多郡三原村,394270012000,大字柚ノ木,32.908911,132.831510,0,1
39,高知県,39427,幡多郡三原村,394270013000,大字芳井,32.888868,132.900882,0,1
