都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
39,高知県,39210,四万十市,392100001000,秋田,33.020163,132.931886,0,1
39,高知県,39210,四万十市,392100002000,赤松町,32.984610,132.917532,0,1
39,高知県,39210,四万十市,392100003000,麻生,33.028276,132.940484,0,1
39,高知県,39210,四万十市,392100004000,荒川,32.987110,132.861848,0,1
39,高知県,39210,四万十市,392100005000,有岡,32.965302,132.830293,0,1
39,高知県,39210,四万十市,392100006000,伊才原,33.085433,132.955377,0,1
39,高知県,39210,四万十市,392100007000,井沢,32.977003,132.968888,0,1
39,高知県,39210,四万十市,392100008000,磯ノ川,32.975424,132.843511,0,1
39,高知県,39210,四万十市,392100009000,板ノ川,33.040315,132.879200,0,1
39,高知県,39210,四万十市,392100010000,岩田,33.011800,132.910240,0,1
39,高知県,39210,四万十市,392100011000,鵜ノ江,33.048050,132.818823,0,1
39,高知県,39210,四万十市,392100012000,右山,32.980676,132.945829,0,1
39,高知県,39210,四万十市,392100013000,右山五月町,32.987265,132.941214,0,1
39,高知県,39210,四万十市,392100014000,右山天神町,32.985271,132.941591,0,1
39,高知県,39210,四万十市,392100015001,右山元町一丁目,32.986222,132.938509,0,3
39,高知県,39210,四万十市,392100015002,右山元町二丁目,32.983398,132.938954,0,3
39,高知県,39210,四万十市,392100015003,右山元町三丁目,32.982302,132.941008,0,3
39,高知県,39210,四万十市,392100016000,駅前町,32.984141,132.943927,0,1
39,高知県,39210,四万十市,392100017000,江ノ村,32.958745,132.864797,0,1
39,高知県,39210,四万十市,392100018000,生ノ川,32.977331,132.852980,0,1
39,高知県,39210,四万十市,392100019000,大西ノ川,33.115840,132.937099,0,1
39,高知県,39210,四万十市,392100020000,大屋敷,33.120637,133.001116,0,1
39,高知県,39210,四万十市,392100021000,大用,33.098806,132.974504,0,1
39,高知県,39210,四万十市,392100022000,奥鴨川,33.080710,132.868159,0,1
39,高知県,39210,四万十市,392100023000,片魚,33.132774,132.985712,0,1
39,高知県,39210,四万十市,392100024000,勝間,33.055731,132.782025,0,1
39,高知県,39210,四万十市,392100025000,上ノ土居,32.951367,132.845888,0,1
39,高知県,39210,四万十市,392100026000,川登,33.033588,132.863186,0,1
39,高知県,39210,四万十市,392100027000,九樹,32.950471,132.833030,0,1
39,高知県,39210,四万十市,392100028000,楠,33.041694,132.826223,0,1
39,高知県,39210,四万十市,392100029000,楠島,32.983578,132.888863,0,1
39,高知県,39210,四万十市,392100030000,口鴨川,33.040220,132.901908,0,1
39,高知県,39210,四万十市,392100031000,具同,32.982688,132.908327,0,1
39,高知県,39210,四万十市,392100032001,具同田黒一丁目,32.988850,132.919169,0,3
39,高知県,39210,四万十市,392100032002,具同田黒二丁目,32.985698,132.920732,0,3
39,高知県,39210,四万十市,392100032003,具同田黒三丁目,32.984683,132.919323,0,3
39,高知県,39210,四万十市,392100033000,国見,32.985521,132.875226,0,1
39,高知県,39210,四万十市,392100034000,久保川,33.076158,132.826563,0,1
39,高知県,39210,四万十市,392100035000,古津賀,32.992085,132.963538,0,1
39,高知県,39210,四万十市,392100036001,古津賀一丁目,32.985281,132.954917,0,3
39,高知県,39210,四万十市,392100036002,古津賀二丁目,32.988159,132.957548,0,3
39,高知県,39210,四万十市,392100036003,古津賀三丁目,32.984013,132.958536,0,3
39,高知県,39210,四万十市,392100036004,古津賀四丁目,32.982880,132.953065,0,3
39,高知県,39210,四万十市,392100037000,小西ノ川,33.107117,132.950311,0,1
39,高知県,39210,四万十市,392100038000,古尾,33.107805,132.911911,0,1
39,高知県,39210,四万十市,392100039000,佐岡,32.991833,132.945490,0,1
39,高知県,39210,四万十市,392100040000,坂本,32.957227,132.927868,0,1
39,高知県,39210,四万十市,392100041000,佐田,33.010724,132.891017,0,1
39,高知県,39210,四万十市,392100042000,実崎,32.955966,132.969671,0,1
39,高知県,39210,四万十市,392100043000,敷地,33.014536,132.923032,0,1
39,高知県,39210,四万十市,392100044000,下田,32.944261,132.989734,0,1
39,高知県,39210,四万十市,392100045000,住次郎,33.127637,132.961150,0,1
39,高知県,39210,四万十市,392100046000,常六,33.131315,133.014398,0,1
39,高知県,39210,四万十市,392100047000,高瀬,33.032373,132.823440,0,1
39,高知県,39210,四万十市,392100048000,竹島,32.971992,132.982332,0,1
39,高知県,39210,四万十市,392100049000,竹屋敷,33.124145,132.879429,0,1
39,高知県,39210,四万十市,392100050000,田出ノ川,33.054100,132.850822,0,1
39,高知県,39210,四万十市,392100051000,田野川,33.047655,132.915935,0,1
39,高知県,39210,四万十市,392100052000,手洗川,33.015992,132.838222,0,1
39,高知県,39210,四万十市,392100053000,津蔵渕,32.923908,132.954040,0,1
39,高知県,39210,四万十市,392100054000,角崎,32.975089,132.954428,0,1
39,高知県,39210,四万十市,392100055000,利岡,33.020930,132.903234,0,1
39,高知県,39210,四万十市,392100056000,中村,33.000077,132.924747,0,1
39,高知県,39210,四万十市,392100057000,中村愛宕町,32.994013,132.933227,0,1
39,高知県,39210,四万十市,392100058001,中村一条通一丁目,32.992386,132.934785,0,3
39,高知県,39210,四万十市,392100058002,中村一条通二丁目,32.992314,132.936176,0,3
39,高知県,39210,四万十市,392100058003,中村一条通三丁目,32.992097,132.937333,0,3
39,高知県,39210,四万十市,392100058004,中村一条通四丁目,32.991959,132.938534,0,3
39,高知県,39210,四万十市,392100058005,中村一条通五丁目,32.991543,132.940636,0,3
39,高知県,39210,四万十市,392100059000,中村岩崎町,32.987000,132.930388,0,1
39,高知県,39210,四万十市,392100060001,中村大橋通一丁目,32.989706,132.928187,0,3
39,高知県,39210,四万十市,392100060002,中村大橋通二丁目,32.991145,132.930928,0,3
39,高知県,39210,四万十市,392100060003,中村大橋通三丁目,32.990965,132.932821,0,3
39,高知県,39210,四万十市,392100060004,中村大橋通四丁目,32.990554,132.934387,0,3
39,高知県,39210,四万十市,392100060005,中村大橋通五丁目,32.990940,132.936006,0,3
39,高知県,39210,四万十市,392100060006,中村大橋通六丁目,32.989742,132.937120,0,3
39,高知県,39210,四万十市,392100060007,中村大橋通七丁目,32.989507,132.940564,0,3
39,高知県,39210,四万十市,392100061000,中村於東町,32.993817,132.936410,0,1
39,高知県,39210,四万十市,392100062000,中村上小姓町,32.994954,132.931131,0,1
39,高知県,39210,四万十市,392100063001,中村京町一丁目,32.993600,132.934673,0,3
39,高知県,39210,四万十市,392100063002,中村京町二丁目,32.994562,132.934959,0,3
39,高知県,39210,四万十市,392100063003,中村京町三丁目,32.995593,132.934987,0,3
39,高知県,39210,四万十市,392100063004,中村京町四丁目,32.996846,132.935051,0,3
39,高知県,39210,四万十市,392100063005,中村京町五丁目,32.998244,132.935170,0,3
39,高知県,39210,四万十市,392100064000,中村小姓町,32.994007,132.932361,0,1
39,高知県,39210,四万十市,392100065000,中村栄町,32.991760,132.932968,0,1
39,高知県,39210,四万十市,392100066000,中村桜町,32.997208,132.933331,0,1
39,高知県,39210,四万十市,392100067000,中村四万十町,32.988183,132.929428,0,1
39,高知県,39210,四万十市,392100068001,中村新町一丁目,32.993539,132.935581,0,3
39,高知県,39210,四万十市,392100068002,中村新町二丁目,32.994521,132.935787,0,3
39,高知県,39210,四万十市,392100068003,中村新町三丁目,32.995424,132.936072,0,3
39,高知県,39210,四万十市,392100068004,中村新町四丁目,32.996830,132.936032,0,3
39,高知県,39210,四万十市,392100068005,中村新町五丁目,32.998276,132.936164,0,3
39,高知県,39210,四万十市,392100069000,中村天神橋,32.992512,132.933378,0,1
39,高知県,39210,四万十市,392100070000,中村百笑町,32.992905,132.926514,0,1
39,高知県,39210,四万十市,392100071000,中村羽生小路,32.989535,132.933387,0,1
39,高知県,39210,四万十市,392100072000,中村東下町,32.991950,132.932082,0,1
39,高知県,39210,四万十市,392100073001,中村東町一丁目,32.993932,132.939348,0,3
39,高知県,39210,四万十市,392100073002,中村東町二丁目,32.995638,132.939221,0,3
39,高知県,39210,四万十市,392100073003,中村東町三丁目,32.997559,132.938988,0,3
39,高知県,39210,四万十市,392100074001,中村本町一丁目,32.993535,132.933902,0,3
39,高知県,39210,四万十市,392100074002,中村本町二丁目,32.994589,132.934106,0,3
39,高知県,39210,四万十市,392100074003,中村本町三丁目,32.995621,132.934140,0,3
39,高知県,39210,四万十市,392100074004,中村本町四丁目,32.996887,132.934191,0,3
39,高知県,39210,四万十市,392100074005,中村本町五丁目,32.998190,132.934296,0,3
39,高知県,39210,四万十市,392100075000,中村丸の内,32.997886,132.931918,0,1
39,高知県,39210,四万十市,392100076000,中村山手通,32.992529,132.930827,0,1
39,高知県,39210,四万十市,392100077000,中村弥生町,32.989749,132.931526,0,1
39,高知県,39210,四万十市,392100078000,名鹿,32.923398,132.991023,0,1
39,高知県,39210,四万十市,392100079000,鍋島,32.959804,132.981313,0,1
39,高知県,39210,四万十市,392100080000,西土佐岩間,33.135021,132.818282,0,1
39,高知県,39210,四万十市,392100081000,西土佐江川,33.231992,132.791150,0,1
39,高知県,39210,四万十市,392100082000,西土佐江川崎,33.178206,132.769873,0,1
39,高知県,39210,四万十市,392100083000,西土佐大宮,33.134650,132.727911,0,1
39,高知県,39210,四万十市,392100084000,西土佐奥屋内,33.106535,132.703292,0,1
39,高知県,39210,四万十市,392100085000,西土佐茅生,33.123619,132.809323,0,1
39,高知県,39210,四万十市,392100086000,西土佐玖木,33.092103,132.756143,0,1
39,高知県,39210,四万十市,392100087000,西土佐口屋内,33.090074,132.795312,0,1
39,高知県,39210,四万十市,392100088000,西土佐黒尊,33.148192,132.653973,0,1
39,高知県,39210,四万十市,392100089000,西土佐下家地,33.164286,132.739680,0,1
39,高知県,39210,四万十市,392100090000,西土佐須崎,33.149608,132.746407,0,1
39,高知県,39210,四万十市,392100091000,西土佐橘,33.155379,132.791513,0,1
39,高知県,39210,四万十市,392100092000,西土佐津賀,33.126619,132.771470,0,1
39,高知県,39210,四万十市,392100093000,西土佐津野川,33.136517,132.789999,0,1
39,高知県,39210,四万十市,392100094000,西土佐中家地,33.179757,132.740473,0,1
39,高知県,39210,四万十市,392100095000,西土佐長生,33.190355,132.807024,0,1
39,高知県,39210,四万十市,392100096000,西土佐中半,33.113041,132.832394,0,1
39,高知県,39210,四万十市,392100097000,西土佐西ケ方,33.192788,132.752171,0,1
39,高知県,39210,四万十市,392100098000,西土佐半家,33.215295,132.810842,0,1
39,高知県,39210,四万十市,392100099000,西土佐藤ノ川,33.163928,132.848265,0,1
39,高知県,39210,四万十市,392100100000,西土佐用井,33.168884,132.805149,0,1
39,高知県,39210,四万十市,392100101000,西土佐薮ケ市,33.141084,132.761813,0,1
39,高知県,39210,四万十市,392100102000,入田,32.998147,132.907341,0,1
39,高知県,39210,四万十市,392100103000,初崎,32.927315,132.979996,0,1
39,高知県,39210,四万十市,392100104000,平野,32.954406,132.990332,0,1
39,高知県,39210,四万十市,392100105000,深木,32.945172,132.945605,0,1
39,高知県,39210,四万十市,392100106000,藤,33.031928,132.952495,0,1
39,高知県,39210,四万十市,392100107000,双海,32.970464,132.994084,0,1
39,高知県,39210,四万十市,392100108000,不破,32.979631,132.937137,0,1
39,高知県,39210,四万十市,392100109000,不破上町,32.985766,132.935748,0,1
39,高知県,39210,四万十市,392100110000,間崎,32.943291,132.972560,0,1
39,高知県,39210,四万十市,392100111000,三里,33.009292,132.864657,0,1
39,高知県,39210,四万十市,392100112000,三ツ又,33.124752,133.037394,0,1
39,高知県,39210,四万十市,392100113000,森沢,32.958012,132.897811,0,1
39,高知県,39210,四万十市,392100114000,安並,33.012078,132.942901,0,1
39,高知県,39210,四万十市,392100115000,山路,32.961108,132.954092,0,1
39,高知県,39210,四万十市,392100116000,横瀬,32.990915,132.832319,0,1
39,高知県,39210,四万十市,392100117000,若藤,33.027726,132.897528,0,1
39,高知県,39210,四万十市,392100118001,渡川一丁目,32.989729,132.922319,0,3
39,高知県,39210,四万十市,392100118002,渡川二丁目,32.986142,132.922418,0,3
39,高知県,39210,四万十市,392100118003,渡川三丁目,32.986533,132.924570,0,3
39,高知県,39210,四万十市,392100119000,蕨岡,33.053158,132.947993,0,1
39,高知県,39412,高岡郡四万十町,394120001000,相去,33.220902,133.046774,0,1
39,高知県,39412,高岡郡四万十町,394120002000,秋丸,33.186470,133.070902,0,1
39,高知県,39412,高岡郡四万十町,394120003000,家地川,33.158098,133.080869,0,1
39,高知県,39412,高岡郡四万十町,394120004000,井崎,33.200127,132.855196,0,1
39,高知県,39412,高岡郡四万十町,394120005000,市生原,33.274781,133.117776,0,1
39,高知県,39412,高岡郡四万十町,394120006000,市ノ又,33.199265,133.039623,0,1
39,高知県,39412,高岡郡四万十町,394120007000,壱斗俵,33.294442,133.112547,0,1
39,高知県,39412,高岡郡四万十町,394120008000,魚ノ川,33.280800,133.155996,0,1
39,高知県,39412,高岡郡四万十町,394120009000,打井川,33.150786,133.033799,0,1
39,高知県,39412,高岡郡四万十町,394120010000,浦越,33.205072,132.947609,0,1
39,高知県,39412,高岡郡四万十町,394120011000,江師,33.213201,132.963201,0,1
39,高知県,39412,高岡郡四万十町,394120012000,大井川,33.207974,132.884781,0,1
39,高知県,39412,高岡郡四万十町,394120013000,大井野,33.206323,133.119803,0,1
39,高知県,39412,高岡郡四万十町,394120014000,大鶴津,33.197892,133.219445,0,1
39,高知県,39412,高岡郡四万十町,394120015000,大道,33.279239,132.892906,0,1
