都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
26,京都府,26364,相楽郡笠置町,263640001000,大字飛鳥路,34.752679,135.960790,0,1
26,京都府,26364,相楽郡笠置町,263640002000,大字有市,34.779115,135.959478,0,1
26,京都府,26364,相楽郡笠置町,263640003000,大字笠置,34.753900,135.939602,0,1
26,京都府,26364,相楽郡笠置町,263640004000,大字切山,34.767963,135.927834,0,1
